Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDa 1 ;;0;0;;FR.A;ARTICOLI1;1960;04.20 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627098;;"Gli *amici di Verona / [Giuseppe Raimondi]. - 1960 aprile 20. - 5 c. ; 31 cm. ((Il resto del carlino 24.4.60. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 2 ;;0;0;;FR.A;ARTICOLI1;1960;05.12 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627094;;"Un *pittore bolognese / [Giuseppe Raimondi]. - 1960. - [3] p. su 2 c. ; 22 cm. ((Il resto del carlino 12.5.1960 (cfr. data a c. [1]). - Ms. - A c. [2] unito foglietto ms. (1 c.).";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 3 ;;0;0;;FR.A;ARTICOLI1;1960;07.24 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627099;;"*Licenza militare / [Giuseppe Raimondi]. - 1960. - 5 c. ; 31 cm. ((Il resto del carlino 24.7.60 (cfr. data a c. 1). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 4 ;;0;0;;FR.A;ARTICOLI1;1960;07.30 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627102;;"*Montagna pistoiese / [Giuseppe Raimondi]. - 1960. - 5 c. ; 31 cm. ((Il resto del carlino 30.7.1960 (cfr. data a c. 1). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 5 ;;0;0;;FR.A;ARTICOLI1;1960;11.12 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627100;;"*Litografie di Ardengo Soffici / [Giuseppe Raimondi]. - 1960 novembre 12. - 4 c. ; 31 cm. ((Il resto del carlino 30.11.1960 (cfr. data a c. [1]). - Ms. - Nel quaderno di Indici compare col tit. ""Magiche litografie di Soffici"".";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"").; HA PER ALTRO TITOLO 3627101 *Magiche litografie di Soffici"
RDa 6 ;;0;0;;FR.A;ARTICOLI1;1960;11.29 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627104;;"*Riflessioni su Paul Valery / [Giuseppe Raimondi]. - 1960 novembre 29. - 5 c. ; 31 cm. ((Il resto del carlino 3.12.1960. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 7 ;;0;0;;FR.A;ARTICOLI1;1960;12.20 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627106;;"*Civilta nell'arte / [Giuseppe Raimondi]. - 1960. - 3 c. ; 31 cm. ((Il resto del carlino 20.12.1960 (cfr. data a c. [1]). - Ms. - Nel quaderno degli Indici e a c. [1] compare anche il tit. ""Testimoniata dall'arte la civilta degli uomini"".";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"").; HA PER ALTRO TITOLO 3627107 *Testimoniata dall'arte la civilta degli uomini"
RDa 8 ;;0;0;;FR.A;ARTICOLI1;1960;12.29 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627103;;"*Bologna, una citta / Giuseppe Raimondi. - 1960 dicembre 29. - [4] c. ; 31 cm. ((Il resto del carlino 6.1.1961 (cfr. data a c. [1]). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 9 ;;0;0;;FR.A;ARTICOLI1;1961;01.28 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627105;;"*Pitture e disegni di Guglielmo Pizzirani / [Giuseppe Raimondi]. - 1961. - [3] c. ; 32 cm. ((Il resto del carlino 28.1.1961 (cfr. data a c. [1]). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"")."
RDa 10 ;;0;0;;FR.A;ARTICOLI1;1961;01.31 ;10/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3627108;;"Il *Bronzino / [Giuseppe Raimondi]. - 1961 gennaio 31. - 4 c. ; 31 cm. ((Il resto del carlino 11.2.61. - A c. 1 anche ""Il Bronzino, un pittore lunare"". - Nel quaderno degli Indici compare col tit. ""Il pittore lunare : (Bronzino). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621050 [*Manoscritti] / Giuseppe Raimondi. - 1960-1976. - 17 carpette ; 32 cm. ((Minute di articoli, racconti, quasi tutte su mezzi fogli protocollo, ordinate da Giuseppe Raimondi in carpette per anno, con indici. - Pubblicati su Il resto del carlino e altri periodici (cfr., anche per le date di pubblicazione, gli Indici fatti tenere dallo stesso G. R. ""Arte, Letteratura, Narrativa, Poesia: articoli pubblicati dal 1955: Il mondo, Il resto del carlino, La nazione, Corriere della sera, giornali vari"").; HA PER ALTRO TITOLO 3627109 Il *pittore lunare : (Bronzino)"
