Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDm 1 ;;0;0;;FR.A;CORRISP;SALVAT; ;21/02/93;;;;;Mat. document.-manoscr;Carteggio;3625380;;"[*Cartolina intestata] 1928 marzo 9, Milano [a] Giuseppe Raimondi ""L'italiano"" / Salvati. - 1928. - 1 c. ; 139 x 93 mm. ((Cartolina ms. intestata ""La fiera letteraria"" con illustrazione.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 2 ;;0;0;;FR.A;CORRISP;SAFFAR; ;21/02/93;;;L 3, B 1;;Mat. document.-manoscr;Carteggio;3625381;;"[*Lettere e biglietto] 1962 agosto 25 - 1968 dicembre 3, Trieste [poi] Bologna [a] Giuseppe Raimondi / Lucio Saffaro. - 1962-1968. - 6 c. ; 280 x 221 mm + 4 buste + 1 ritaglio di giornale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 3 ;;0;0;;FR.A;CORRISP;SACCM; ;21/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625383;;"[*Lettera] 1969 luglio 18, Bologna [a] Giuseppe Raimondi / Mario Saccenti. - 1969. - 1 c. ; 218 x 140 mm + 1 busta. ((Ms. - Carta e busta intestate ""Universita degli studi di Bologna. Facolta di Magistero. Istituto di Filologia Moderna"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 5 ;;0;0;;FR.A;CORRISP;SALVIO; ;21/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625384;;"[*Biglietto] 1961 novembre 19, Bologna [a Giuseppe] Raimondi / Emilia Salvioni. - 1961. - 1 c. ; 103 x 151 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 6 ;;0;0;;FR.A;CORRISP;SANGG; ;21/02/93;;;L 15, St 1, R 2;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625385;;"[*Lettere e biglietto di invito] 1960 febbraio 8 - 1970 febbraio 24, Roma [a Giuseppe] Raimondi / Giovanni Sangiorgi. - [Lettere] 1958 giugno 1927 - 1969 dicembre 1929, Bologna [a] Giovanni Sangiorgi / Giuseppe Raimondi. - 1958-1970. - 21 p. su 20 c. ; 298 x 223 mm + 7 buste. ((Lettere di G. S. su carta intestata ""Ente premi Roma""  - Lettere di G. R. minute ds. non firmate, tranne 30.12.1960, ms. e firmata";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 7 ;;0;0;;FR.A;CORRISP;SANTP; ;21/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625386;;"[*Lettera] 1958 aprile 21, Firenze [a Giuseppe] Raimondi / Piero Santi. - 1958. - 1 c. ; 225 x 144 mm + 1 busta. ((Lettera ms. su carta intestata ""Galleria d'arte l'indiano"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 8 ;;0;0;;FR.A;CORRISP;SBRAL; ;21/02/93;;;L&R 4;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625388;;"[*Lettere] 1955 maggio 9 - 1959 luglio 25, Viareggio [a] Giuseppe Raimondi / Leone Sbrana. - [Lettera] 1955 maggio 20, Bologna [a] Leone Sbrana / Giuseppe Raimondi. - 1955-1959. - 5 c. ; 285 x 227 mm + 3 buste. ((Lettere di L. S. su carta intestata ""Premio letterario Viareggio"". - Lettera di G. R. minuta ds. non firmata.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 9 ;;0;0;;FR.A;CORRISP;SCAPE; ;21/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625389;;"[*Lettera] 1965 febbraio 3, Bologna [a] Giuseppe Raimondi / Eugenio Scapardini. - 1965. - 1 c. ; 281 x 221 mm. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 10 ;;0;0;;FR.A;CORRISP;SCALE; ;21/02/93;;;L 1, CI 1;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625387;;"[*Lettera e cartolina illustrata] 1955 ottobre 23 - 1955 dicembre 9, Fiera di Primiero [e Firenze] [a Giuseppe] Raimondi / Ennio Scalet. - 1955. - 3 p. su 2 c. ; 228 x 145 mm + 1 busta. ((Secondo luogo tratto dal timbro postale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 11 ;;0;0;;FR.A;CORRISP;SAVIL; ;21/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625392;;"[*Lettera] 1965 giugno 1, Roma [a Giuseppe] Raimondi / Luigi Saviane. - 1965. - 1 c. ; 286 x 229 mm + 1 busta. ((Carta e busta intestate ""L'espresso"". - Ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
