Data inv.;Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Sezione;Collocazione;Specificazione;Sequenza;Precisazione inventario;Tipo provenienza;Fornitore;Oggetti digitali inventario;Tipo materiale;Tipo documento;Descrizione isbd;Legami con titoli superiori o supplementi;Oggetti digitali titolo
16/03/93;RL 7119 ;Volume monografia;0;0;FR;Archivio;LIGAB; ;1. ed.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Ligabue come un cavallo : romanzo / Giuseppe Raimondi. - Milano : A. Mondadori, 1971. - 151 p. ; 21 cm.(*Scrittori italiani e stranieri)";;
16/03/93;RL 7120 ;Volume monografia;0;0;FR;Archivio;SCRITT; ;1. ed. Con sottolineature, annotazioni e segnalibri di G. R.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"Lo *scrittoio / Giuseppe Raimondi. - Milano : Il saggiatore, 1960. - 310 p. ; 22 cm.(La *cultura ; 19)";;
16/03/93;RL 7121 ;Volume monografia;0;0;FR;Archivio;DIVERT; ;1. ed. Con sottolineature e note di G.R.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"I *divertimenti letterari : 1915-1925 / Giuseppe Raimondi. - [Milano] : A. Mondadori, 1966. - 224 p. ; 20 cm.(*Quaderni dei Narratori Italiani ; 9)";;
16/03/93;RL 7122 ;Volume monografia;0;0;FR;Archivio;ARCANG; ;1. ed. Con dedica di G.R. a Nadia Uberti, 3 dicembre 1981.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"L'*arcangelo del terrore / Giuseppe Raimondi. - Milano : A. Mondadori, 1981. - 132 p. ; 20 cm.(*Varia classici)";;
16/03/93;RL 7123 ;Volume monografia;0;0;FR;Archivio;GIUSEP; ;La 1. ed. esce nel marzo 1949. Con dedica di G.R. alla moglie, Natale 1957.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Giuseppe in Italia / di Giuseppe Raimondi. - 2. ed. - Milano : A. Mondadori, 1957. - 193 p. ; 20 cm.(*Narratori italiani ; 49)";;
16/03/93;RL 7124 ;Volume monografia;0;0;FR;Archivio;INGIUS; ;1. ed. Con correzioni di G.R.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"L'*ingiustizia / Giuseppe Raimondi. - Milano : Club degli editori, stampa, 1965. - 274 p. ; 21 cm. ((Sovraccoperta di Bruno Munari.(Un *libro al mese. E ; 8)";;
16/03/93;RL 7125 ;Volume monografia;0;0;FR;Archivio;RITORN; ;1. ed.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Ritorno in citta : 8 capitoli e due canti del popolo bolognese / Giuseppe Raimondi. - Milano : Il saggiatore, [1958]. - 74 p. ; 19 cm.(*Biblioteca delle Silerchie ; 4)";;
16/03/93;RL 7126 ;Volume monografia;0;0;FR;Archivio;TESTAO; ;Esemplare n. 647 In cop. etichetta col n. 7 ms.;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Testa o croce / Giuseppe Raimondi ; con una notizia biografica di Riccardo Bacchelli e un disegno di Leo Longanesi. - Torino : Ribet, 1928. - 114 p. : 1 ritr. ; 19 cm. ((Edizione di 750 esemplari numerati.";;
16/03/93;RL 7127 ;Volume monografia;0;0;FR;Archivio;STAGIO; ;;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Stagioni : seguite da Orfeo all'Inferno e altre favole / Giuseppe Raimondi. - Milano : Il Convegno Editoriale, 1922. - 61 p. ; 20 cm.";;
16/03/93;RL 7128 ;Volume monografia;0;0;FR;Archivio;GIORNA; ;Esemplare n. 141;ACQUISTO;;;Libro moderno;Testo a stampa (moderno);"*Giornale ossia Taccuino : (1925-1930) / Giuseppe Raimondi. - Firenze : F. Le Monnier, 1942. - IV, 102 p. ; 21 cm. ((Ed. di 1000 esempl. num. e di 100 esempl. f.c.(*Quaderni di letteratura e d'arte ; 5)";;
