Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDq 1 ;;0;0;;FR.A;QUADERNI.1;1954;1;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626409;;"*Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. - 1954. - 1 quaderno (43 p. ms. numerate irregolarmente su 26 c.) ; 22 cm. ((In cop. anche: 1. L'osteria di Paderno; 2. A proposito di poveri; 3. Elio Lelio Crispo; 4. La macelleria; 1. quaderno. - A c. [25v]: 20.6.1954. - Alle cc. [7] e [22] incollati due foglietti ms. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 2 ;;0;0;;FR.A;QUADERNI.1;1954;2;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626411;;"*Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (25 p. ms. numerate irregolarmente su 22 c.) ; 22 cm. ((In cop. anche: 1. I quattro santi coronati; 2. L'anno '43 / I piccioni di Santa Lucia; 2. quaderno. - A c. [7]: (24.5.1954); a c. [14v]: (17.5.54). - Sul verso della cop. e a c. [10] incollati foglietti ms. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 3 ;;0;0;;FR.A;QUADERNI.1;1954;3;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626412;;"*Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (17 p. ms. numerate irregolarmente su 16 c.) ; 22 cm. ((In cop. anche: 1. Un tipo romantico; 2. Qualche esperimento sulle caldaie; 3. quaderno. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 4 ;;0;0;;FR.A;QUADERNI.1;1954;4;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626413;;"*Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (20 p. ms. di cui 5 numerate su 10 c.) ; 21 cm. ((Contiene vari titoli. - A c. [4]: 15.4.1953. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 5 ;;0;0;;FR.A;QUADERNI.1;1954;6;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626415;;"*Teste - Valery. 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (8 p. ms. su 10 c. di cui 6 numerate 2-7) ; 21 cm. ((Tit. a c. [1]: Paul Valery e M. Teste. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno.; HA PER ALTRO TITOLO 3626416 *Paul Valery e M. Teste"
RDq 6 ;;0;0;;FR.A;QUADERNI.1;1954;7;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626417;;"L'*osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. - 1954. - 1 quaderno 15 p. ms. numerate su 20 c.) ; 22 cm. ((Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 7 ;;0;0;;FR.A;QUADERNI.1;1954;8;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626414;;"*Varie. Febbraio, marzo 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (13 p. ms. su 10 c. di cui 6 numerate) ; 21 cm. ((In cop. anche: Marcel Schwob (letteratura); La mostra di M. Marcucci (Bologna). - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 8 ;;0;0;;FR.A;QUADERNI.1;1954;9;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626418;;"*Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. - 1954. - 1 quaderno (8 p. ms. su 10 c. di cui 6 numerate) ; 21 cm. ((In cop. anche: varie. - Contiene anche: Lady Macbeth. - Ms. - Vi e inserito dattiloscritto ""Lady Macbeth"" (2 c.).";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 9 ;;0;0;;FR.A;QUADERNI.1;1954;10;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626419;;"*Rimbaud in Africa / [Giuseppe Raimondi]. - 1954. - 1 quaderno (16 p. ms numerate su 10 c.) ; 22 cm. ((In cop. e a p. 12: 12.7.1954. - Ms. - Vi sono inseriti foglietti ms. ""Rimb. et le fascisme"" (2 c.).";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 10 ;;0;0;;FR.A;QUADERNI.1;1954;11;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626421;;"*Dare & avere : giugno 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (11 p. ms. di cui 4 numerate su 10 c.) ; 21 cm. ((In cop. anche: 1. Cardarelli e Hemingway; 2. Lorenzo Montano; 3. Lawrence d'Arabia; 4. Poesia idraulica; luglio. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 11 ;;0;0;;FR.A;QUADERNI.1;1954;12;07/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626420;;"*A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (6 p. ms. su 10 c. di cui 6 numerate) ; 22 cm. ((A c. 6: 4 agosto '54. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 12 ;;0;0;;FR.A;QUADERNI.1;1954;13;08/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626422;;"*Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. - 1954. - 1 quaderno (21 p. ms. numerate su 12 c.) ; 22 cm. ((Tit. a p. 1: ""Io Giudo Reni"" : (la pittura di Guido Reni). - In cop. anche: novembre. - A p. 21: 3 nov. '54; alle pp. 11 e 14 incollati foglietti ms. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno.; HA PER ALTRO TITOLO 3626423 *Io Guido Reni : la pittura di Guido Reni"
RDq 13 ;;0;0;;FR.A;QUADERNI.1;1954;14;08/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626424;;"*Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (15 p. ms. numerate su 10 c.) ; 22 cm. ((In cop. anche: conferenza. - Ms. - Vi sono inseriti fogli ms. (6 p. su 3 c.).";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
RDq 14 ;;0;0;;FR.A;QUADERNI.1;1954;15;08/03/93;;;;A ACQUISTO;Mat. document.-manoscr;Testo manoscritto;3626425;;"L'*ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. - 1954. - 1 quaderno (13 p. ms. numerate irregolarmente su 10 c.) ; 22 cm. ((A p. 12[bis]: 25.12.54. - Ms.";"FA PARTE DI Mat. document.-manoscr 3621049 [*Quaderni manoscritti]. 1954-[1976] / Giuseppe Raimondi. - 1954-1976. - 308 quaderni ; 22 cm. ((Prima serie di quaderni di appunti, minute di racconti, recensioni, articoli. Serie ordinata dallo stesso Giuseppe Raimondi in carpette per anno."
