Inventario;Specificazione;Sequenza;Titolo;Edizione;Permalink;;;;;;;;;;;;;;;;;;;;;
RDq 1;1954;1;L'osteria di Paderno (L'osteria di Monte Paderno);ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 1;1954;1;A proposito di poveri;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 1;1954;1;Elio Lelio Crispo (Il signor Elio Lelio Crispo: (l'ermafrodito di Casaralta));ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 1;1954;1;Mio marito è macellaio (La macelleria);ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 2;1954;2;I quattro santi coronati [Quattro minatori in Belgio];"ED (L'approdo 1954 n. 2; Mignon)";https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 2;1954;2;Dei piccioni di Santa Lucia [Dei colombi in una facciata];"ED (Comunità 1954 n. 25; Mignon)";https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 3;1954;3;Un tipo romantico;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 3;1954;3;La stanza dei termometri [Qualche esperimento sulle caldaie];ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Dare & avere Il vecchio socialista e lo scrittore ;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Il poeta Virgilio Giotti;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Dostoevski, o la Russia;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Saint-Bouve e i veleni;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Cultura europea intorno al 1930;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 4;1954;4;Alberino;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 5;1954;6;Teste - Valéry (Paul Valéry e M. Teste);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 6;1954;7;L'osteria di Paderno;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 7;1954;8;Marcel Schwob [Piccolo ritratto di Marcel Schwob];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 7;1954;8;La mostra di M. Marcucci;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 8;1954;9;Le case di Bologna;ED (Pirelli 1954 n. 3);https://sol.unibo.it/SebinaOpac/resource/le-case-di-bologna/UBO3680750;;;;;;;;;;;;;;;;;;;;;
RDq 8;1954;9;Lady Macbeth;ED (Le nevi dell'altro anno);https://sol.unibo.it/SebinaOpac/resource/le-nevi-dellaltro-anno-racconti-19671968/UBO0337174;;;;;;;;;;;;;;;;;;;;;
RDq 9;1954;10;Rimbaud in Africa [Rimbaud mercante in Africa];ED (Civiltà delle macchine 1954 n. 5);https://sol.unibo.it/SebinaOpac/resource/rimbaud-mercante-in-africa/UBO3680126;;;;;;;;;;;;;;;;;;;;;
RDq 10;1954;11;Dare & avere : giugno 1954;;;;;;;;;;;;;;;;;;;;;;;
RDq 10;1954;11;Cardarelli e Hemingway [Verità e verità (in letteratura)];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 10;1954;11;Lorenzo Montano (Dell'amico di cui sopra);"ED? (Il Mondo 5 giugno 1956; Lo scrittoio)?";;;;;;;;;;;;;;;;;;;;;;
RDq 10;1954;11;Poesia idraulica ;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 10;1954;11;Lawrence d'Arabia [338171. T. E. (Lawrence d'Arabia)];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 11;1954;12;A proposito delle Lettere dei condannati a morte;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 12;1954;13;Guido (Io Guido Reni la pittura di guido reni);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 13;1954;14;Rimbaud (Le sommeil de Rimbaud);ED (Critique 1954 n. 10);;;;;;;;;;;;;;;;;;;;;;
RDq 14;1954;15;L'ufficiale tedesco;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 15;1954;16;Un mitragliamento;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 16;1955;01;Scrittori al microfono;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 16;1955;;Prefazione a Mignon [Nota dell'autore];ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 17;1955;02;Fumisteria;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 18;1955;03;Cortile bolognese;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;04;Gérard de Nerval [Un poeta impiccato];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;;Un sogno dell'anno '43 (al mi papa l'è anda a la fira);"ED (Le nevi dell'altro anno; I bachi da seta)";https://sol.unibo.it/SebinaOpac/resource/le-nevi-dellaltro-anno-racconti-19671968/UBO0337174;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;;La radio del signor Pietro;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;05;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;;Il Conrad di Jahier;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;;Con Maccari, a Bologna;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 21;1955;06;Arturo Rimbaud [Rimbaud];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;07;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;;Leda [Leda, una favola];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
