inventario	entity_type	occurrence	wikidata	wikidata_code	VIAF_ID	wikidata_uri
RDq 5	PER	Paul Valery	Paul Valéry	Q200639
RDq 7	PER	Marcel Schwob	Marcel Schwob	Q472697
RDq 7	PER	Mario Marcucci	Mario Marcucci	Q21208726
RDq 9	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 10	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 10	PER	Hemingway	Ernest Hemingway	Q23434
RDq 10	PER	Lorenzo Montano	Lorenzo Montano	Q3837018
RDq 10	PER	Lawrence d'Arabia	T. E. Lawrence	Q170596
RDq 12	PER	Guido Reni	Guido Reni	Q109061
RDq 13	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 19	PER	Gerard de Nerval	Gérard de Nerval	Q191305
RDq 20	PER	Conrad	Joseph Conrad	Q82925
RDq 20	PER	Jahier	Piero Jahier	Q3903278
RDq 20	PER	Maccari	Mino Maccari	Q3858582
RDq 21	PER	Arturo Rimbaud	Arthur Rimbaud	Q493
RDq 22	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 22	PER	Clemente Rebora	Clemente Rebora	Q3680468
RDq 23	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 23	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 24	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 24	PER	Giovanni Verga	Giovanni Verga	Q271814
RDq 25	PER	Dante	Dante Alighieri	Q1067
RDq 26	PER	Antonio Fiacchi	Antonio Fiacchi	http://viaf.org/viaf/234456322
RDq 26	PER	Passerotti	Bartolomeo Passarotti	Q809512
RDq 27	PER	Umberto Saba	Umberto Saba	Q451312
RDq 29	PER	Sbarbaro	Camillo Sbarbaro	Q585401
RDq 30	PER	Bastianino	Sebastiano Filippi	Q3476895
RDq 30	PER	Gratella	Sebastiano Filippi	Q3476895
RDq 31	PER	Radiguet	Raymond Radiguet	Q333615
RDq 32	PER	Rosai	Ottone Rosai	Q719109
RDq 34	PER	Meryon	Charles Méryon	Q247505
RDq 37	PER	Pascarella	Cesare Pascarella	Q3665495
RDq 38	PER	Teresa Carniani Malvezzi	Teresa Carniani	Q3984273
RDq 39	PER	Teresa Malvezzi	Teresa Carniani	Q3984273
RDq 39	PER	Cornelia Martinelli	Cornelia Rossi-Martinetti	Q52709250
RDq 39	PER	Cornelia Martinetti	Cornelia Rossi-Martinetti	Q52709250
RDq 40	PER	T.S. Eliot	T. S. Eliot	Q37767
RDq 41	PER	Cornelia Martinetti	Cornelia Rossi-Martinetti	Q52709250
RDq 42	PER	Pontormo	Pontormo	Q207929
RDq 42	PER	Lorenzo Montano	Lorenzo Montano	Q3837018
RDq 42	PER	Pontormo	Pontormo	Q207929
RDq 44	PER	Pascal	Blaise Pascal	Q1290
RDq 45	PER	Diderot	Denis Diderot	Q448
RDq 46	PER	Annibale Carracci	Annibale Carracci	Q7824
RDq 47	PER	Antonio Rinaldi	Antonio Rinaldi	Q3620097
RDq 47	PER	Antonio Rinaldi	Antonio Rinaldi	Q3620097
RDq 48	PER	Giorgio Morandi	Giorgio Morandi	Q309618
RDq 48	PER	Montale	Eugenio Montale	Q83174
RDq 49	PER	Germano Passarelli	Germano Pessarelli	http://viaf.org/viaf/96417864
RDq 50	PER	Van Eyck	Jan van Eyck	Q102272
RDq 50	PER	Petrus Cristus	Petrus Christus	Q312616
RDq 50	PER	Rubens	Peter Paul Rubens	Q5599
RDq 51	PER	Guillaume Apollinaire	Guillaume Apollinaire	Q133855
RDq 51	PER	Odilon Redon	Odilon Redon	Q154349
RDq 52	PER	Monsu Bernardo	Bernhard Keil	Q259393
RDq 53	PER	Manzoni	Alessandro Manzoni	Q1064
RDq 54	PER	Bacchelli	Mario Bacchelli	Q20735044
RDq 54	PER	Bacchelli	Mario Bacchelli	Q20735044
RDq 55	PER	Corot	Jean-Baptiste Camille Corot	Q148475
RDq 56	PER	Dino Campana	Dino Campana	Q2271183
RDq 56	PER	Campana	Dino Campana	Q2271183
RDq 56	PER	Dino Campana	Dino Campana	Q2271183
RDq 57	PER	Andre Derain	André Derain	Q156272
RDq 58	PER	Cecchi	Emilio Cecchi	Q708563
RDq 58	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 60	PER	Virgilio Giotti	Virgilio Giotti	Q2160344
RDq 64	PER	Pasternak	Boris Pasternak	Q41223
RDq 64	PER	Baudelaire	Charles Baudelaire	Q501
RDq 64	PER	Boris Pasternak	Boris Pasternak	Q41223
RDq 65	PER	Cezanne	Paul Cézanne	Q35548
RDq 65	PER	Leopoldo Longanesi	Leo Longanesi	Q1818677
RDq 66	PER	Romagnoli	Giovanni Romagnoli	Q3768048
RDq 67	PER	Blaise Cendras	Blaise Cendrars	Q123080
RDq 68	PER	De Pisis	Filippo De Pisis	Q661473
RDq 68	PER	De Pisis	Filippo De Pisis	Q661473
RDq 70	PER	Longanesi	Leo Longanesi	Q1818677
RDq 70	PER	Bino Binazzi	Bino Binazzi	Q3640117
RDq 74	PER	Campana	Dino Campana	Q2271183
RDq 74	PER	Sibilla Aleramo	Sibilla Aleramo	Q287741
RDq 75	PER	Lautreamont	Comte de Lautréamont	Q294181
RDq 76	PER	Sibilla	Sibilla Aleramo	Q287741
RDq 76	PER	Cocteau	Jean Cocteau	Q83158
RDq 77	PER	Georges Seurat	Georges Seurat	Q34013
RDq 78	PER	Pascoli	Giovanni Pascoli	Q375998
RDq 78	PER	Montaigne	Michel de Montaigne	Q41568
RDq 78	PER	Pessarelli	Germano Pessarelli	http://viaf.org/viaf/96417864
RDq 81	PER	Gerard de Nerval	Gérard de Nerval	Q191305
RDq 81	PER	Nerval	Gérard de Nerval	Q191305
