"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq323/object","Scritti critici di varia letteratura : Bologna, marzo 1915","52 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq189/object","I ritratti del Fayum. 24.12.1963","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq189/object","I ritratti del Fayum. 24.12.1963 ; Il Bastianino. 11.1.1964","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq431/object","Paul Valery : (il saggio su Descartes al Convento dei Minimi)","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq369/object","Dare e avere. 6 febbraio 1953","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq103/object","Cartadifrancia ; I milanesi di Vuillard","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq103/object","Cartadifrancia","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq384/object","Gli amici di mio padre. 1977","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq358/object","Appunti vari, 1952 per i racconti (prefazione) ; Alcune vecchie bolognesi","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq358/object","Appunti vari, 1952 per i racconti (prefazione)","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq90/object","Per le strade di Bologna. 3.12.1958 ; A proposito di A. Modigliani. 8.2.1959","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq90/object","Per le strade di Bologna. 3.12.1958","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq430/object","""Passano le estati ... ""","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq359/object","Cardarelli. 1952","8 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq21/object","Arturo Rimbaud. 1955","11 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq427/object","Bacchelli : (""Ammazzato Amleto"")","11 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq410/object","Rimbaud e Morandi, due grandi caratteri tra i moderni. 1979","48 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq424/object","[Appunti]","42 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq406/object","Paul Cezanne vede il mondo come ""natura morta"". 22.2.979 ; Riapparizione medianica di Odilon Redon. 1 marzo 1979 ; Rileggiamo l'esame di coscienza di Renato Serra. 30.3.1979","54 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq406/object","Paul Cezanne vede il mondo come ""natura morta"". 22.2.979","54 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq443/object","Rileggere l'esame di coscienza di Serra","54 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq397/object","Il berretto frigio di Felice Giani. 20.11.979","54 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq400/object","I disegni anatomici di Leonardo : inedito","54 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq444/object","Rime di Dante : una versione","34 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq329/object","Montaigne. 1943","34 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq417/object","[Quaderno manoscritto]","34 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq160/object","Evviva il gas. 18.4.62","10 carte"
