"Person","Person name","Mentioned in"
"https://w3id.org/ficlitdl/person/leo-longanesi","Leo Longanesi","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq221/text"
"https://w3id.org/ficlitdl/person/william-blake","William Blake","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq212/text"
"https://w3id.org/ficlitdl/person/paul-eluard","Paul Éluard","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq362/text"
"https://w3id.org/ficlitdl/person/sebastiano-mazzoni","Sebastiano Mazzoni","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq110/text"
"https://w3id.org/ficlitdl/person/gerard-de-nerval","Gérard de Nerval","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq234/text"
"https://w3id.org/ficlitdl/person/felice-giani","Felice Giani","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq397/text"
"https://w3id.org/ficlitdl/person/jackson-pollock","Jackson Pollock","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq151/text"
"https://w3id.org/ficlitdl/person/rembrandt","Rembrandt","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq215/text"
"https://w3id.org/ficlitdl/person/bernhard-keil","Bernhard Keil","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq52/text"
"https://w3id.org/ficlitdl/person/ottone-rosai","Ottone Rosai","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq32/text"
"https://w3id.org/ficlitdl/person/francis-bacon","Francis Bacon","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq219/text"
"https://w3id.org/ficlitdl/person/corrado-corazza","Corrado Corazza","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq94/text"
"https://w3id.org/ficlitdl/person/carracci","Carracci","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq424/text"
"https://w3id.org/ficlitdl/person/julio-gonzalez","Julio González","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq198/text"
"https://w3id.org/ficlitdl/person/pablo-picasso","Pablo Picasso","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq182/text"
"https://w3id.org/ficlitdl/person/isaak-babel","Isaak Babel","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq84/text"
"https://w3id.org/ficlitdl/person/magalotti","Magalotti","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq317/text"
"https://w3id.org/ficlitdl/person/guido-cagnacci","Guido Cagnacci","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq101/text"
"https://w3id.org/ficlitdl/person/alessandro-bonsanti","Alessandro Bonsanti","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq350/text"
"https://w3id.org/ficlitdl/person/max-ernst","Max Ernst","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq225/text"
"https://w3id.org/ficlitdl/person/giacomo-casanova","Giacomo Casanova","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq98/text"
"https://w3id.org/ficlitdl/person/giovanni-romagnoli","Giovanni Romagnoli","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq66/text"
"https://w3id.org/ficlitdl/person/jean-cocteau","Jean Cocteau","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq76/text"
"https://w3id.org/ficlitdl/person/paul-cezanne","Paul Cézanne","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq406/text"
"https://w3id.org/ficlitdl/person/paul-durand-ruel","Paul Durand-Ruel","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq125/text"
"https://w3id.org/ficlitdl/person/teresa-carniani","Teresa Carniani","https://w3id.org/giuseppe-raimondi-lod/notebook/rdq39/text"
